DOI
10.13052/jwe1540-9589.2511
10.1109/ACCESS.2026.3665348
10.1109/ACCESS.2025.3532853
10.1109/ACCESS.2026.3662282
10.1109/ACCESS.2025.3590264
10.1109/ACCESS.2025.3621887
10.1109/ACCESS.2026.3668138
10.1109/ACCESS.2026.3654529
